id	module	supermodule	dim_1	dim_2
128up	2	1	2.80959604384664	-2.70125832408334
14-3-3epsilon	14	1	0.671463531243337	-0.880914663738317
14-3-3zeta	16	1	-0.740683854964961	0.780935770912915
140up	21	1	1.03270834871431	0.25258359157483
18SrRNA-Psi:CR41602	13	1	-0.980362361022387	1.60595128804667
18w	39	1	3.47380080783918	3.01874034925126
26-29-p	11	1	-1.24143056984484	-1.30743389470337
28SrRNA-Psi:CR45855	13	1	-0.993255187419423	1.61245155222456
28SrRNA-Psi:CR45859	13	1	-1.06216218138158	1.64432419394123
4E-T	1	1	3.58706463119036	-1.86598306942589
4EHP	16	1	-1.0864858408073	0.655640517430903
5-HT1A	31	4	-4.06730725450604	4.62711207776547
5-HT1B	40	1	-2.65211980650298	3.29179490748678
5.8SrRNA-Psi:CR45863	13	1	-1.02563328155028	1.55247205311238
5PtaseI	43	1	2.83889274956282	1.78204695427439
7B2	31	4	-3.84380939892615	5.282050449633
A16	1	1	3.24499352541516	-0.769405569260957
A2bp1	13	1	-1.27849746791185	1.2761223152577
AANATL2	42	1	-5.42434828797588	1.99369397952657
ABCB7	9	1	3.32939137874144	-3.05633251184053
ACC	4	1	-3.51571086640513	1.61000558472125
ADD1	3	1	0.172270847578941	1.37015398445216
AGBE	11	1	-1.16833328225112	-1.44393805777235
AGO1	13	1	-1.13476308577371	0.901377391612087
AGO2	16	1	-1.15587813662042	0.270644319971777
AGO3	39	1	3.61855384621503	3.23691807424549
AIF	9	1	3.10968072760143	-2.84434632621781
ALiX	8	1	-2.19040897555342	-0.283073771281542
AMPKalpha	10	1	-0.234358602407867	-0.465924052266354
AMPdeam	4	1	-3.1640488418457	1.54701218965405
AOX1	20	1	0.0669501534863044	3.37228573384517
AOX3	11	1	-0.903086239914125	-1.01470138058441
AP-1-2beta	22	1	-2.82607048315464	-0.828846652202503
AP-1gamma	16	1	-0.839754650417993	0.465083901991957
AP-1mu	14	1	0.474801696216675	-0.975424049609814
AP-1sigma	6	1	0.98344556891282	-1.48202809841147
AP-2alpha	10	1	-0.640279847996701	0.162740852788794
AP-2mu	37	1	-2.27432307431359	-1.50833373534632
AP-2sigma	10	1	-0.259784520909145	-1.62660466007038
APC10	28	1	3.36918911270773	0.29096795023805
APC4	17	1	2.17775681231369	2.61722410439242
APP-BP1	20	1	0.0918014381928232	3.45862136155845
ASPP	7	1	2.45171977148858	1.38409274445957
ATP7	17	1	2.10118643259546	2.58957070418704
ATP8B	4	1	-2.8640710648276	0.51747244256037
ATPCL	10	1	-0.0931699380599624	-0.666348904905082
ATPsyn-Cf6	32	1	0.759192647431871	-2.80054178126565
ATPsyn-b	6	1	0.462686531155066	-2.20069611247862
ATPsyn-beta	6	1	0.3229039625556	-2.05559798173199
ATPsyn-d	6	1	0.445618221748984	-2.13600492855056
ATPsyn-gamma	6	1	0.438558355170449	-2.07294422124821
ATbp	44	1	0.914766985002709	2.15739410628146
Aac11	28	1	3.63095902515704	0.878909760010429
Aatf	9	1	3.23618489274311	-3.31812553554383
Aats-ala	2	1	2.86897058016661	-2.76679168020862
Aats-arg	2	1	2.99872500284483	-2.58211451767408
Aats-asn	2	1	2.07884808361354	-2.87682172896942
Aats-asp	11	1	-0.517903905937354	-1.5014956468201
Aats-cys	2	1	2.41042579123361	-1.70091937960182
Aats-gln	2	1	2.66563672111303	-2.91805074170374
Aats-glupro	10	1	0.0373202475710042	-0.6238590906621
Aats-gly	2	1	2.56468248823367	-2.82237001321491
Aats-his	2	1	2.75212281313559	-2.68182929490363
Aats-ile	9	1	3.29280882576092	-2.93076964889027
Aats-leu	1	1	2.29867021483318	-1.52939667281774
Aats-lys	9	1	3.21427484493517	-2.92295750438562
Aats-met	1	1	2.88952529877801	-0.974157757096355
Aats-phe	14	1	1.36822441392312	-1.40637202541979
Aats-pro	7	1	2.56010730414798	1.26708242062877
Aats-thr	2	1	1.97393761812234	-2.87342426866504
Aats-trp	2	1	2.79495702071285	-2.59449944853923
Aats-tyr	2	1	1.67977917040017	-2.90056102700078
Aats-tyr-m	1	1	3.49207079789133	-0.700800436445453
Aats-val	2	1	2.14106660629502	-2.89750152718967
Abi	37	1	-1.98610683620024	-1.16737636341436
Abl	26	1	-4.61657819401187	0.251359453906695
Abp1	7	1	2.43231023238513	1.1920675430667
Ac3	17	1	1.47122867835739	2.56558328481815
Ac76E	4	1	-2.02213851267789	0.440456055076789
Ac78C	26	1	-4.35723064774461	0.538713544367379
AcCoAS	11	1	-1.30241144577356	-0.983613396588003
Acer	39	1	3.60050777012396	3.23412779509871
Acf1	19	1	4.62023749210647	0.102085302500337
Ack-like	8	1	-2.13782601368171	0.10837349641374
Acn	3	1	-0.151451643614425	1.35447434800334
Acon	6	1	0.446838476671379	-2.01120166831832
Acox57D-p	47	1	-1.2508404937254	3.06742114663524
Acsl	3	1	-0.166350191186633	0.280473610812487
Act42A	6	1	0.389124556605799	-1.47864116373691
Act57B	35	1	1.7322473255325	-4.75544760555556
Act5C	4	1	-2.48347675490824	0.276218766926067
Act87E	35	1	1.30441399196313	-4.08593123136865
Act88F	48	1	0.601332131428587	-4.2156454340262
Actn	1	1	2.14600668395849	-0.523303742953625
Acyp	41	1	-2.475322228113	2.51959317416649
Acyp2	32	1	0.964074646573759	-2.54899887296527
AdSL	2	1	2.53392059013163	-2.99768714719723
AdSS	9	1	3.00389807197806	-3.21810230982567
Ada	15	1	4.31546936367972	1.24535535977934
Ada2a	25	1	3.32970238433974	2.18481862217399
Ada2b	20	1	-0.195235531337244	3.32633811565986
Adam	2	1	2.4963703172196	-2.92473826148312
AdamTS-A	26	1	-4.07513356244384	0.497976406007502
AdenoK	9	1	3.11856639218697	-2.80626008742474
Adf1	26	1	-4.76752466859844	0.874293332103305
Adgf-A	4	1	-3.27197996873111	0.978124697281645
Adh	36	5	1.66718217432559	4.35921105188573
AdipoR	16	1	-1.64597911219326	0.0989503616020211
Adk1	42	1	-5.17956285987549	1.60257856818442
Adk2	6	1	0.436572688708196	-2.16680086219914
Adk3	23	2	-7.03971471230551	0.36381231732131
AdoR	24	1	-3.54035714150644	-2.33525187785702
Ady43A	42	1	-5.31179440036558	1.77665763486879
Aef1	2	1	2.46168928719293	-3.18752099833226
Afti	30	1	0.849401289735427	1.31753701147428
Ahcy13	2	1	2.37355040826154	-2.78279087945893
Ahcy89E	50	1	-3.50668915361046	2.82186349808747
Ak6	2	1	2.89706865999414	-2.69834238682339
Akap200	16	1	-1.62308120148587	0.393644853253782
