p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
9.48135395149884e-302	2.05647410234141	0.994	0.797	1.47340240406292e-297	0	Ance
5.30625090862536e-266	1.3429697635132	0.988	0.893	8.2459139120038e-262	0	Tep4
1.74763292130559e-230	1.06109559458926	0.992	0.943	2.71582155970888e-226	0	CG42566
1.91677296038486e-211	1.27253169689868	0.746	0.071	2.97866518043808e-207	0	CG13160
7.74178945828606e-183	1.71255913047889	0.828	0.231	1.20307408181765e-178	0	IM18
4.72320033733572e-161	0.802902372347166	0.996	0.971	7.33985332421971e-157	0	CR43855
1.29445537215936e-152	0.910246125750854	0.569	0.028	2.01158364833565e-148	0	CG13159
3.75723873003078e-126	0.865705202167846	0.642	0.147	5.83874898646784e-122	0	Swim
3.06660775633389e-116	0.837555887916727	0.752	0.351	4.76550845334287e-112	0	CAP
2.18249091285871e-107	0.818155764795982	0.744	0.315	3.39159087858243e-103	0	NK7.1
1.58136375494346e-97	1.18080653279982	0.847	0.534	2.45743927518213e-93	0	CecA2
3.27509029536987e-95	1.09948679002511	0.561	0.132	5.08949031900477e-91	0	CG33225
1.59443936767705e-93	0.548186115083346	0.354	0	2.47775877737014e-89	0	mthl13
1.19474409909245e-88	0.604282099888821	0.435	0.056	1.85663232998967e-84	0	Vago
7.39196020557308e-74	0.402140839492806	0.311	0.011	1.14871061594606e-69	0	CG12910
3.07899253214863e-73	0.636123178957538	0.549	0.191	4.78475439495897e-69	0	ITP
2.22124085483023e-66	0.732652971517608	0.509	0.165	3.45180828840618e-62	0	CG8317
7.5359159852389e-62	0.383889069256713	0.323	0.04	1.17108134410612e-57	0	Ance-2
2.68456058459776e-61	0.526407534212704	0.585	0.269	4.17180714846492e-57	0	CG30269
5.10992641099689e-59	0.586528101912388	0.793	0.598	7.94082564268917e-55	0	mthl6
2.80411622553383e-58	0.459636207752174	0.829	0.693	4.35759661447957e-54	0	Sam-S
3.91402107791982e-58	0.409717670207693	0.949	0.902	6.0823887550874e-54	0	Rm62
1.34535248953348e-57	0.440447200115067	0.911	0.807	2.09067776873502e-53	0	nop5
1.50181973695809e-57	0.407711218284917	0.277	0.022	2.33382787123287e-53	0	CR46035
6.23303953134535e-56	0.428973668294871	0.316	0.046	9.68614343171068e-52	0	Lip4
1.22917203726735e-55	0.392691456368991	0.937	0.856	1.91013334591347e-51	0	Nop60B
3.02163419276764e-52	0.702807662130497	0.324	0.061	4.69561953556092e-48	0	CG6023
5.71978789154645e-51	0.331587781146343	0.32	0.058	8.88855038346318e-47	0	QC
9.74040610366781e-50	0.431448520782874	0.868	0.729	1.51365910850998e-45	0	Nop56
3.53778662804719e-48	0.495872834649967	0.731	0.527	5.49772041998533e-44	0	et
6.7701542664306e-46	0.371973350082829	0.935	0.877	1.05208197300332e-41	0	FK506-bp1
1.57882337007562e-45	0.280942726758078	0.983	0.964	2.45349151709752e-41	0	lost
4.81090397042558e-45	0.420318218040914	0.402	0.136	7.47614477004136e-41	0	Tret1-1
4.62920093894878e-41	0.357206278370687	0.397	0.143	7.19377825912641e-37	0	ACC
2.17945427141284e-40	0.595105187858243	0.751	0.471	3.38687193777556e-36	0	CecA1
2.22793401533929e-38	0.275694069286389	0.961	0.934	3.46220945983726e-34	0	Nap1
4.34120940678262e-38	0.3622525836353	0.974	0.96	6.74623941814019e-34	0	CG45050
6.24941849971764e-38	0.349398382722138	0.867	0.793	9.71159634856121e-34	0	RpL24-like
1.68454698805694e-36	0.516624852733024	0.711	0.51	2.61778601944048e-32	0	CG44250
2.35976584501144e-35	0.350410489791434	0.903	0.83	3.66707612314778e-31	0	Gapdh2
4.00946330363541e-34	0.272220008784701	0.357	0.124	6.23070597384944e-30	0	CG43187
1.70985351411732e-33	0.424772191845533	0.656	0.437	2.65711236093831e-29	0	CG18812
3.93980211347508e-32	0.366434042421894	0.874	0.793	6.12245248434028e-28	0	CG5953
4.09889095581237e-32	0.370055104837778	0.715	0.534	6.36967654533242e-28	0	CG8545
1.5743742361165e-31	0.278306131021397	0.3	0.098	2.44657756292504e-27	0	elB
1.6960446240151e-31	0.302046338127139	0.881	0.805	2.63565334571947e-27	0	CG4038
1.86962560309517e-31	0.334059890436119	0.747	0.594	2.9053981872099e-27	0	Fib
2.0352232059086e-30	0.362994819340608	0.964	0.928	3.16273686198196e-26	0	CG2865
5.96201223213153e-30	0.40638270511609	0.602	0.409	9.26496700873241e-26	0	CG6299
5.95087283562405e-28	0.295023105169356	0.873	0.814	9.24765638655978e-24	0	Non1
1.08202490725637e-27	0.263002083476805	0.921	0.875	1.6814667058764e-23	0	CG7911
3.66372492226976e-27	0.29355143087448	0.33	0.136	5.69342852920721e-23	0	Fur1
5.328905406801e-27	0.352511279532626	0.789	0.662	8.28111900216875e-23	0	CG11486
2.15663570865377e-26	0.321699018075854	0.774	0.634	3.35141189124796e-22	0	NHP2
3.17315721017672e-26	0.33939534693446	0.828	0.723	4.93108630461463e-22	0	hoip
3.20192548953683e-26	0.264817277163117	0.9	0.857	4.97579221074023e-22	0	yps
4.87645223562143e-26	0.281604238273879	0.929	0.897	7.57800677415569e-22	0	rin
1.96287463127788e-25	0.307056012815863	0.79	0.686	3.05030717700583e-21	0	CG6767
1.75956842818712e-24	0.29463277205217	0.85	0.747	2.73436933740279e-20	0	trol
4.46468878623576e-24	0.328663677840175	0.776	0.655	6.93812637381038e-20	0	puc
8.95204888785092e-24	0.339497322649553	0.93	0.867	1.39114839717203e-19	0	dm
1.07527233460162e-23	0.377548659818034	0.27	0.104	1.67097320797092e-19	0	CG31174
1.45819718868465e-23	0.278455221460022	0.886	0.841	2.26603843121595e-19	0	mod
1.90730610001784e-23	0.272068958659989	0.781	0.681	2.96395367942772e-19	0	CG15019
2.27795063935528e-23	0.295609390369138	0.941	0.909	3.53993529355811e-19	0	chinmo
2.09867567692843e-22	0.356856280565812	0.605	0.442	3.26134200194678e-18	0	CR42868
3.47870237356889e-22	0.341319132897262	0.751	0.605	5.40590348852606e-18	0	Fim
3.59679990492849e-22	0.303176376641025	0.743	0.599	5.58942705225887e-18	0	CG9253
3.82403585531057e-22	0.279448168346936	0.853	0.778	5.94255171915262e-18	0	GstE6
7.42183824146891e-22	0.326080578682513	0.865	0.786	1.15335366272427e-17	0	hdc
7.10340073432849e-21	0.279858424615751	0.487	0.284	1.10386847411465e-16	0	PGRP-LB
2.16508811541418e-20	0.294097747186527	0.507	0.328	3.36454693135364e-16	0	CG15347
4.15657619348761e-20	0.29084101446914	0.432	0.26	6.45931940467974e-16	0	tara
4.91409218246727e-20	0.27990187708638	0.637	0.451	7.63649925155414e-16	0	hth
9.09512254460712e-20	0.444636412858781	0.702	0.528	1.41338204343195e-15	0	CecC
9.09970146733393e-20	0.358559725233828	0.586	0.429	1.41409360802369e-15	0	InR
1.92446766166611e-19	0.291981502574451	0.717	0.593	2.99062274622914e-15	0	E2f1
5.91344904410492e-19	0.699477803623809	0.288	0.13	9.18949981453905e-15	0	Dro
6.63392323774056e-19	0.316236804460381	0.477	0.315	1.03091167114488e-14	0	corto
7.29502057783657e-19	0.272665690662729	0.507	0.346	1.1336461977958e-14	0	stv
2.89139965313224e-18	0.260065188133528	0.852	0.779	4.4932350609675e-14	0	Prosap
1.5739087342642e-16	0.251009126562563	0.379	0.228	2.44585417304657e-12	0	CG13937
3.06712357433803e-16	0.347206443900323	0.642	0.521	4.7663100345213e-12	0	Eip75B
4.10977268613352e-16	0.256408184503975	0.736	0.629	6.38658675425148e-12	0	spoon
2.47654016143821e-15	0.267518778460726	0.576	0.448	3.84854341087498e-11	0	kraken
3.7414682419082e-15	0.254798393328747	0.675	0.565	5.81424164792535e-11	0	CG32425
3.8829490117937e-15	0.26879086118708	0.647	0.521	6.03410276432741e-11	0	cpo
8.50923060151559e-15	0.285523151140484	0.616	0.479	1.32233443547552e-10	0	CG43736
3.52730214205382e-14	0.257130088099176	0.571	0.428	5.48142752875164e-10	0	CG42666
6.83752532057894e-12	0.364958265619886	0.529	0.403	1.06255143481797e-07	0	CG3348
1.94997900553137e-10	0.25703479764706	0.389	0.274	3.03026737459574e-06	0	cv-c
1.10286162270898e-08	0.395978299642157	0.492	0.416	0.000171384696168976	0	Ets21C
0	2.21037363165414	0.951	0.174	0	1	BM-40-SPARC
2.40121533461389e-277	1.66612405355829	0.988	0.661	3.73148862998998e-273	1	Ppn
2.47322149315082e-269	1.53472815946686	0.988	0.636	3.84338620035638e-265	1	Hml
7.9399343009063e-259	1.57007269897618	0.816	0.063	1.23386579036084e-254	1	Pxn
2.87899670083855e-245	1.86895459154318	0.794	0.066	4.4739608731031e-241	1	Tep1
6.10616462006727e-206	1.60659152715373	0.692	0.047	9.48897981958454e-202	1	Glt
4.76256070230411e-191	1.04831035313006	0.941	0.623	7.40101933138059e-187	1	spz
3.48431347499629e-188	2.12610348985905	0.636	0.034	5.41462314014423e-184	1	Cg25C
4.06845584258527e-185	1.32883073727956	0.972	0.788	6.32238037937751e-181	1	regucalcin
1.2335216819979e-182	1.7434211929967	0.615	0.026	1.91689269382474e-178	1	vkg
4.36685652464649e-182	1.04348028058098	0.791	0.163	6.78609503930064e-178	1	kuz
4.3056031798692e-181	1.00206524261816	0.965	0.582	6.69090734151674e-177	1	CG7777
1.74349840679073e-177	1.05191626571786	0.911	0.544	2.70939652415279e-173	1	LanB1
1.74957536279555e-176	1.20963515221233	0.861	0.368	2.71884011378428e-172	1	CG34331
3.05949108095139e-169	0.921059339219904	0.723	0.149	4.75444913979847e-165	1	nAChRbeta3
3.1216802267484e-169	0.964444222440325	0.954	0.771	4.85109107236702e-165	1	CG31777
5.88136141359866e-166	1.27750029808875	0.851	0.36	9.13963563673232e-162	1	Cys
3.40940466363336e-165	1.6631637292877	0.628	0.065	5.29821484728624e-161	1	CG42807
1.01204166728701e-164	0.784044687958793	0.996	0.967	1.57271275096401e-160	1	Act42A
1.16184959871766e-164	0.996349244682171	0.882	0.46	1.80551427640724e-160	1	LanA
6.29308055193545e-163	0.952077490143471	0.932	0.653	9.77944717770768e-159	1	scf
1.88111105506441e-160	0.85326542171882	0.581	0.038	2.9232465795701e-156	1	CG9372
3.73336904349838e-157	0.804672567917268	0.548	0.019	5.80165549359648e-153	1	Tig
8.87261263098931e-154	0.863193250448159	0.713	0.168	1.37880400285574e-149	1	LanB2
3.24344809546729e-151	0.685231267840607	0.984	0.916	5.04031834035616e-147	1	ERp60
5.13460605292964e-149	1.09803828361484	0.782	0.245	7.97917780625267e-145	1	E(spl)mbeta-HLH
3.87090334989102e-148	1.02721016205672	0.771	0.293	6.01538380573064e-144	1	CG32138
1.71186054314706e-143	1.07867893538706	0.511	0.021	2.66023128405053e-139	1	CG43124
5.10842640564389e-139	0.964375290603135	0.713	0.219	7.93849463437061e-135	1	NtR
2.76414111957163e-136	0.60894876008841	0.982	0.951	4.29547529981432e-132	1	Pdi
2.58920644642492e-135	0.386187286354866	1	0.999	4.02362681774433e-131	1	CG8157
9.36183864092074e-134	0.892197468606007	0.468	0.007	1.45482972479908e-129	1	CG34054
5.84571460989144e-128	0.824385030298839	0.814	0.396	9.0842405037713e-124	1	NimB4
7.35616488212454e-124	0.330305613610627	1	0.998	1.14314802268215e-119	1	Nplp2
4.63482515693461e-122	0.794922818950217	0.799	0.317	7.20251829387638e-118	1	CG17760
4.13581574216617e-117	0.691548921902734	0.903	0.65	6.42705766332623e-113	1	CG30283
3.16365832419014e-116	0.692467590884071	0.962	0.849	4.91632503579147e-112	1	CG6084
3.3631343857267e-116	0.908986647913723	0.446	0.024	5.22631083541929e-112	1	CG43799
3.59124050942794e-115	0.754143026726909	0.449	0.029	5.58078775165102e-111	1	CG1092
4.07972652142945e-115	0.700647822961105	0.925	0.715	6.33989501430137e-111	1	Idgf3
2.50451818992469e-114	0.660641445615409	0.581	0.118	3.89202126714297e-110	1	Ndae1
4.70809822252869e-112	0.793753714706497	0.934	0.776	7.31638463780958e-108	1	Gp93
1.15574908222281e-110	0.76496040136414	0.752	0.334	1.79603407377424e-106	1	Idh
3.01153072582643e-110	0.715917636374676	0.853	0.555	4.67991874793428e-106	1	Gel
6.27794818744632e-110	0.65433346717653	0.98	0.958	9.75593148329158e-106	1	Crc
9.61407004153941e-108	0.694644647545672	0.716	0.299	1.49402648445522e-103	1	CG4398
2.30358392627837e-107	0.526176326267588	0.429	0.027	3.57976942143658e-103	1	CG14523
2.8976753376302e-104	1.00998711069805	0.526	0.105	4.50298747467734e-100	1	Sr-CI
6.89496612705477e-103	0.623847128261864	0.374	0.006	1.07147773614431e-98	1	CG43125
4.77270497661586e-101	0.637620798674574	0.38	0.011	7.41678353366104e-97	1	CG34437
2.41818033697576e-100	0.617185380612588	0.501	0.087	3.75785224366034e-96	1	CG30463
2.12227765908584e-98	0.730621153619784	0.83	0.517	3.29801948221939e-94	1	ct
3.31036354552705e-97	0.835925628346791	0.484	0.083	5.14430494974903e-93	1	Tsp42Ee
3.33936283974123e-96	0.623910542039177	0.644	0.221	5.18936985295787e-92	1	eater
